name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
RFG1-RFG2	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG1-RFG9	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG2-RFG3	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG2-RFG10	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG3-RFG11	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG3-RFG4	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG4-RFG12	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG4-RFG5	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG5-RFG13	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG5-RFG6	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG6-RFG14	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG6-RFG7	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG7-RFG8	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG7-RFG15	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG8-RFG16	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG9-RFG17	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG9-RFG10	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG10-RFG11	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG10-RFG18	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG11-RFG12	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG11-RFG19	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG12-RFG13	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG12-RFG20	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG13-RFG14	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG13-RFG21	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG14-RFG22	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG14-RFG15	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG15-RFG23	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG15-RFG16	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG16-RFG24	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG17-RFG25	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG17-RFG18	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG18-RFG26	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG18-RFG19	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG19-RFG20	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG19-RFG27	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG20-RFG21	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG20-RFG28	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG21-RFG29	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG21-RFG22	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG22-RFG30	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG22-RFG23	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG23-RFG31	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
RFG23-RFG24	ECOG	V	n/a	n/a	bipolar	RFG	1600	grid	n/a
