name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
RGRID1	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID2	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID3	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID4	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID5	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID6	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID7	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID8	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID9	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID10	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID11	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID12	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID13	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID14	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID15	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID16	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID17	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID18	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID19	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID20	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID21	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID22	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID23	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID24	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID25	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID26	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID27	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID28	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID29	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID30	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID31	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
RGRID32	ECOG	V	n/a	n/a	RGRID	1000	grid	n/a
