name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
RAIS1-RAIS2	ECOG	V	n/a	n/a	bipolar	RAIS	499.7071	strip	n/a
RAIS2-RAIS3	ECOG	V	n/a	n/a	bipolar	RAIS	499.7071	strip	n/a
RAIS3-RAIS4	ECOG	V	n/a	n/a	bipolar	RAIS	499.7071	strip	n/a
RAIS4-RAIS5	ECOG	V	n/a	n/a	bipolar	RAIS	499.7071	strip	n/a
RAIS5-RAIS6	ECOG	V	n/a	n/a	bipolar	RAIS	499.7071	strip	n/a
RAIS6-RAIS7	ECOG	V	n/a	n/a	bipolar	RAIS	499.7071	strip	n/a
RAIS7-RAIS8	ECOG	V	n/a	n/a	bipolar	RAIS	499.7071	strip	n/a
RMIS1-RMIS2	ECOG	V	n/a	n/a	bipolar	RMIS	499.7071	strip	n/a
RMIS2-RMIS3	ECOG	V	n/a	n/a	bipolar	RMIS	499.7071	strip	n/a
RMIS3-RMIS4	ECOG	V	n/a	n/a	bipolar	RMIS	499.7071	strip	n/a
RMIS4-RMIS5	ECOG	V	n/a	n/a	bipolar	RMIS	499.7071	strip	n/a
RMIS5-RMIS6	ECOG	V	n/a	n/a	bipolar	RMIS	499.7071	strip	n/a
RMIS6-RMIS7	ECOG	V	n/a	n/a	bipolar	RMIS	499.7071	strip	n/a
RMIS7-RMIS8	ECOG	V	n/a	n/a	bipolar	RMIS	499.7071	strip	n/a
RPIS1-RPIS2	ECOG	V	n/a	n/a	bipolar	RPIS	499.7071	strip	n/a
RPIS2-RPIS3	ECOG	V	n/a	n/a	bipolar	RPIS	499.7071	strip	n/a
RPIS3-RPIS4	ECOG	V	n/a	n/a	bipolar	RPIS	499.7071	strip	n/a
RPIS4-RPIS5	ECOG	V	n/a	n/a	bipolar	RPIS	499.7071	strip	n/a
RPIS5-RPIS6	ECOG	V	n/a	n/a	bipolar	RPIS	499.7071	strip	n/a
RPIS6-RPIS7	ECOG	V	n/a	n/a	bipolar	RPIS	499.7071	strip	n/a
RPIS7-RPIS8	ECOG	V	n/a	n/a	bipolar	RPIS	499.7071	strip	n/a
RFG1-RFG7	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG1-RFG2	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG2-RFG8	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG2-RFG3	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG3-RFG4	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG3-RFG9	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG4-RFG5	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG4-RFG10	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG5-RFG11	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG5-RFG6	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG6-RFG12	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG7-RFG13	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG7-RFG8	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG8-RFG14	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG8-RFG9	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG9-RFG10	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG9-RFG15	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG10-RFG16	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG10-RFG11	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG11-RFG17	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG11-RFG12	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG12-RFG18	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG13-RFG14	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG13-RFG19	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG14-RFG15	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG14-RFG20	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG15-RFG21	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG15-RFG16	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG16-RFG22	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG16-RFG17	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG17-RFG18	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG17-RFG23	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG18-RFG24	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG19-RFG20	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG20-RFG21	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG21-RFG22	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG22-RFG23	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RFG23-RFG24	ECOG	V	n/a	n/a	bipolar	RFG	499.7071	grid	n/a
RPG1-RPG2	ECOG	V	n/a	n/a	bipolar	RPG	499.7071	grid	n/a
