name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
RG1-RG9	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG1-RG2	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG2-RG3	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG2-RG10	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG3-RG11	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG3-RG4	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG4-RG5	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG4-RG12	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG5-RG6	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG5-RG13	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG6-RG7	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG6-RG14	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG7-RG8	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG7-RG15	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG8-RG16	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG9-RG10	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG10-RG11	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG11-RG12	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG12-RG13	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG13-RG14	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG14-RG15	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG15-RG16	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG17-RG25	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG17-RG18	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG18-RG26	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG18-RG19	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG19-RG27	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG19-RG20	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG20-RG21	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG20-RG28	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG21-RG22	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG21-RG29	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
RG22-RG30	ECOG	V	n/a	n/a	bipolar	RG	500	grid	n/a
