name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
RFV1-RFV2	ECOG	V	n/a	n/a	bipolar	RFV	500	strip	n/a
RFV2-RFV3	ECOG	V	n/a	n/a	bipolar	RFV	500	strip	n/a
RFV3-RFV4	ECOG	V	n/a	n/a	bipolar	RFV	500	strip	n/a
RFV4-RFV5	ECOG	V	n/a	n/a	bipolar	RFV	500	strip	n/a
RFV5-RFV6	ECOG	V	n/a	n/a	bipolar	RFV	500	strip	n/a
RFV6-RFV7	ECOG	V	n/a	n/a	bipolar	RFV	500	strip	n/a
RFV7-RFV8	ECOG	V	n/a	n/a	bipolar	RFV	500	strip	n/a
RF1-RF2	ECOG	V	n/a	n/a	bipolar	RF	500	strip	n/a
RF2-RF3	ECOG	V	n/a	n/a	bipolar	RF	500	strip	n/a
RF3-RF4	ECOG	V	n/a	n/a	bipolar	RF	500	strip	n/a
RF4-RF5	ECOG	V	n/a	n/a	bipolar	RF	500	strip	n/a
RF5-RF6	ECOG	V	n/a	n/a	bipolar	RF	500	strip	n/a
RF6-RF7	ECOG	V	n/a	n/a	bipolar	RF	500	strip	n/a
RF7-RF8	ECOG	V	n/a	n/a	bipolar	RF	500	strip	n/a
ROF1-ROF2	ECOG	V	n/a	n/a	bipolar	ROF	500	strip	n/a
ROF2-ROF3	ECOG	V	n/a	n/a	bipolar	ROF	500	strip	n/a
ROF3-ROF4	ECOG	V	n/a	n/a	bipolar	ROF	500	strip	n/a
ROF4-ROF5	ECOG	V	n/a	n/a	bipolar	ROF	500	strip	n/a
ROF5-ROF6	ECOG	V	n/a	n/a	bipolar	ROF	500	strip	n/a
ROF6-ROF7	ECOG	V	n/a	n/a	bipolar	ROF	500	strip	n/a
ROF7-ROF8	ECOG	V	n/a	n/a	bipolar	ROF	500	strip	n/a
RPF1-RPF2	ECOG	V	n/a	n/a	bipolar	RPF	500	strip	n/a
RPF2-RPF3	ECOG	V	n/a	n/a	bipolar	RPF	500	strip	n/a
RPF3-RPF4	ECOG	V	n/a	n/a	bipolar	RPF	500	strip	n/a
RPV1-RPV2	ECOG	V	n/a	n/a	bipolar	RPV	500	strip	n/a
RPV2-RPV3	ECOG	V	n/a	n/a	bipolar	RPV	500	strip	n/a
RPV3-RPV4	ECOG	V	n/a	n/a	bipolar	RPV	500	strip	n/a
RO1-RO2	ECOG	V	n/a	n/a	bipolar	RO	500	strip	n/a
RO2-RO3	ECOG	V	n/a	n/a	bipolar	RO	500	strip	n/a
RO3-RO4	ECOG	V	n/a	n/a	bipolar	RO	500	strip	n/a
RO4-RO5	ECOG	V	n/a	n/a	bipolar	RO	500	strip	n/a
RO5-RO6	ECOG	V	n/a	n/a	bipolar	RO	500	strip	n/a
RO6-RO7	ECOG	V	n/a	n/a	bipolar	RO	500	strip	n/a
RO7-RO8	ECOG	V	n/a	n/a	bipolar	RO	500	strip	n/a
RTP1-RTP2	ECOG	V	n/a	n/a	bipolar	RTP	500	strip	n/a
RTP2-RTP3	ECOG	V	n/a	n/a	bipolar	RTP	500	strip	n/a
RTP3-RTP4	ECOG	V	n/a	n/a	bipolar	RTP	500	strip	n/a
RTP4-RTP5	ECOG	V	n/a	n/a	bipolar	RTP	500	strip	n/a
RTP5-RTP6	ECOG	V	n/a	n/a	bipolar	RTP	500	strip	n/a
RTP6-RTP7	ECOG	V	n/a	n/a	bipolar	RTP	500	strip	n/a
RTP7-RTP8	ECOG	V	n/a	n/a	bipolar	RTP	500	strip	n/a
LFV1-LFV2	ECOG	V	n/a	n/a	bipolar	LFV	500	strip	n/a
LFV2-LFV3	ECOG	V	n/a	n/a	bipolar	LFV	500	strip	n/a
LFV3-LFV4	ECOG	V	n/a	n/a	bipolar	LFV	500	strip	n/a
LFV4-LFV5	ECOG	V	n/a	n/a	bipolar	LFV	500	strip	n/a
LFV5-LFV6	ECOG	V	n/a	n/a	bipolar	LFV	500	strip	n/a
LFV6-LFV7	ECOG	V	n/a	n/a	bipolar	LFV	500	strip	n/a
LFV7-LFV8	ECOG	V	n/a	n/a	bipolar	LFV	500	strip	n/a
LF1-LF2	ECOG	V	n/a	n/a	bipolar	LF	500	strip	n/a
LF2-LF3	ECOG	V	n/a	n/a	bipolar	LF	500	strip	n/a
LF3-LF4	ECOG	V	n/a	n/a	bipolar	LF	500	strip	n/a
LF4-LF5	ECOG	V	n/a	n/a	bipolar	LF	500	strip	n/a
LF5-LF6	ECOG	V	n/a	n/a	bipolar	LF	500	strip	n/a
LF6-LF7	ECOG	V	n/a	n/a	bipolar	LF	500	strip	n/a
LF7-LF8	ECOG	V	n/a	n/a	bipolar	LF	500	strip	n/a
LOF1-LOF2	ECOG	V	n/a	n/a	bipolar	LOF	500	strip	n/a
LOF2-LOF3	ECOG	V	n/a	n/a	bipolar	LOF	500	strip	n/a
LOF3-LOF4	ECOG	V	n/a	n/a	bipolar	LOF	500	strip	n/a
LOF4-LOF5	ECOG	V	n/a	n/a	bipolar	LOF	500	strip	n/a
LOF5-LOF6	ECOG	V	n/a	n/a	bipolar	LOF	500	strip	n/a
LOF6-LOF7	ECOG	V	n/a	n/a	bipolar	LOF	500	strip	n/a
LOF7-LOF8	ECOG	V	n/a	n/a	bipolar	LOF	500	strip	n/a
LPF1-LPF2	ECOG	V	n/a	n/a	bipolar	LPF	500	strip	n/a
LPF2-LPF3	ECOG	V	n/a	n/a	bipolar	LPF	500	strip	n/a
LPF3-LPF4	ECOG	V	n/a	n/a	bipolar	LPF	500	strip	n/a
LPFV1-LPFV2	ECOG	V	n/a	n/a	bipolar	LPFV	500	strip	n/a
LPFV2-LPFV3	ECOG	V	n/a	n/a	bipolar	LPFV	500	strip	n/a
LPFV3-LPFV4	ECOG	V	n/a	n/a	bipolar	LPFV	500	strip	n/a
LPFV4-LPFV5	ECOG	V	n/a	n/a	bipolar	LPFV	500	strip	n/a
LPFV5-LPFV6	ECOG	V	n/a	n/a	bipolar	LPFV	500	strip	n/a
LPV1-LPV2	ECOG	V	n/a	n/a	bipolar	LPV	500	strip	n/a
