name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
LFPG1-LFPG2	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG1-LFPG9	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG2-LFPG3	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG2-LFPG10	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG3-LFPG4	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG3-LFPG11	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG4-LFPG5	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG4-LFPG12	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG5-LFPG6	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG5-LFPG13	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG6-LFPG14	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG6-LFPG7	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG7-LFPG8	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG7-LFPG15	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG8-LFPG16	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG9-LFPG17	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG9-LFPG10	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG10-LFPG11	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG10-LFPG18	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG11-LFPG12	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG11-LFPG19	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG12-LFPG20	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG12-LFPG13	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG13-LFPG14	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG13-LFPG21	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG14-LFPG15	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG14-LFPG22	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG15-LFPG16	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG15-LFPG23	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG16-LFPG24	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG17-LFPG18	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG17-LFPG25	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG18-LFPG19	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG18-LFPG26	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG19-LFPG20	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG19-LFPG27	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG20-LFPG21	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG20-LFPG28	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG21-LFPG29	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG21-LFPG22	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG22-LFPG30	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG22-LFPG23	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG23-LFPG31	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG23-LFPG24	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG24-LFPG32	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG25-LFPG26	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG26-LFPG27	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG27-LFPG28	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG28-LFPG29	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG29-LFPG30	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG30-LFPG31	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LFPG31-LFPG32	ECOG	V	n/a	n/a	bipolar	LFPG	1000	grid	n/a
LSFPG1-LSFPG9	ECOG	V	n/a	n/a	bipolar	LSFPG	1000	grid	n/a
LSFPG1-LSFPG2	ECOG	V	n/a	n/a	bipolar	LSFPG	1000	grid	n/a
LSFPG2-LSFPG10	ECOG	V	n/a	n/a	bipolar	LSFPG	1000	grid	n/a
LSFPG2-LSFPG3	ECOG	V	n/a	n/a	bipolar	LSFPG	1000	grid	n/a
LSFPG3-LSFPG4	ECOG	V	n/a	n/a	bipolar	LSFPG	1000	grid	n/a
LSFPG3-LSFPG11	ECOG	V	n/a	n/a	bipolar	LSFPG	1000	grid	n/a
LSFPG4-LSFPG5	ECOG	V	n/a	n/a	bipolar	LSFPG	1000	grid	n/a
LSFPG4-LSFPG12	ECOG	V	n/a	n/a	bipolar	LSFPG	1000	grid	n/a
LSFPG5-LSFPG6	ECOG	V	n/a	n/a	bipolar	LSFPG	1000	grid	n/a
LSFPG5-LSFPG13	ECOG	V	n/a	n/a	bipolar	LSFPG	1000	grid	n/a
LSFPG6-LSFPG7	ECOG	V	n/a	n/a	bipolar	LSFPG	1000	grid	n/a
LSFPG6-LSFPG14	ECOG	V	n/a	n/a	bipolar	LSFPG	1000	grid	n/a
